media0,media1,media2,media3,media4,media5,media6,media7,media8,media9,media10,media11,media12,desvio0,desvio1,desvio2,desvio3,desvio4,desvio5,desvio6,desvio7,desvio8,desvio9,desvio10,desvio11,desvio12,classe
4.449007,2.173600,1.963161,-0.800557,0.178743,-0.728219,0.056505,-0.153838,0.567214,0.201561,0.616995,0.181171,0.320532,5.010692,2.996604,1.968417,1.394802,0.723145,1.194441,0.697653,0.721734,0.560400,0.404300,0.472416,0.374041,0.349731,gun_shot
2.043331,-3.466958,1.240037,-0.680713,-0.164658,0.443414,0.631894,0.618216,0.832216,0.501840,0.167684,0.211667,0.172001,2.946354,3.966021,1.493699,1.366737,0.656040,0.777169,0.741097,0.721470,0.825443,0.613327,0.386296,0.482972,0.376002,gun_shot
2.865998,-1.045675,0.246689,-0.013968,0.201635,0.026856,0.322083,0.178828,0.403881,0.396473,0.381737,0.139526,0.280107,2.895442,1.678383,1.184314,1.039232,0.376575,0.692885,0.448836,0.573831,0.383247,0.512324,0.459133,0.425246,0.338114,gun_shot
9.049675,-2.987121,0.171258,0.239190,0.235888,0.938482,-0.606733,1.254823,-0.177860,0.682144,0.065540,0.233584,0.399871,9.018097,4.040951,2.515319,0.770876,0.676923,0.802127,1.339086,1.000085,0.932218,0.448651,0.449794,0.401205,0.306986,gun_shot
7.228250,-1.740485,-1.880280,-2.493365,-0.857844,-1.281736,-0.243331,-0.153924,-0.061543,0.239689,-0.079887,-0.041006,-0.456656,8.133373,2.193680,2.075482,2.173529,0.943118,0.963263,0.655275,0.511677,0.528881,0.781521,0.517224,0.522459,0.348899,gun_shot
4.337776,-2.340565,0.809639,1.858257,0.935675,0.858763,0.614327,0.506262,0.057778,0.264048,-0.025958,0.118350,-0.157206,5.811376,3.146748,1.613282,2.580288,1.457891,1.244246,1.004810,1.038205,0.597800,0.796498,0.505989,0.604306,0.492049,gun_shot
3.927736,-2.231027,0.741859,0.196400,0.771618,0.126710,0.063543,-0.236009,0.067675,-0.133028,0.223705,-0.187017,0.165143,4.082857,2.701533,1.219996,0.546392,0.810767,0.490634,0.467138,0.556084,0.439025,0.438604,0.468418,0.515681,0.490653,gun_shot
3.394503,-1.172315,0.590062,0.649560,0.735552,0.336334,0.261156,-0.175847,0.310151,-0.008747,0.373375,-0.180315,0.328526,3.660742,2.391246,1.308169,1.056633,0.738324,0.627484,0.531038,0.696344,0.553792,0.539632,0.529602,0.643152,0.506723,gun_shot
3.854629,-1.577210,0.515633,0.424121,0.625141,0.268188,0.220418,-0.214092,0.281745,-0.048826,0.251995,-0.129195,0.250969,3.995155,2.565979,1.262492,0.620522,0.648879,0.516008,0.504928,0.618906,0.460471,0.479887,0.481807,0.545213,0.480806,gun_shot
8.122305,-2.904147,0.603726,-1.807714,-0.359415,-1.201471,-0.685280,-0.319009,-0.558922,0.110081,-0.566017,-0.285101,-0.483529,8.973476,2.765096,1.763810,1.659563,1.086752,0.966302,0.766535,0.483258,0.456373,0.688441,0.336063,0.404194,0.326081,gun_shot
7.286746,-3.539882,0.896554,-2.546554,0.430929,-1.303563,-0.110143,-0.390549,-0.710518,-0.121054,-0.452141,-0.042646,-0.375773,7.996945,3.444970,1.666302,2.369782,1.176391,1.168756,0.708546,0.516031,0.590957,0.498699,0.356434,0.476295,0.324103,gun_shot
8.976735,-2.852108,0.194907,-1.198666,0.101281,-0.764793,-0.118939,-0.249497,-0.378344,0.186401,-0.439679,-0.085722,-0.319122,9.614260,2.941854,1.178168,1.474966,1.084989,0.866600,0.644892,0.485801,0.477770,0.661199,0.388993,0.383241,0.335009,gun_shot
8.994046,-3.054757,0.430812,-1.216607,0.150361,-0.788137,-0.144478,-0.258535,-0.469819,0.153112,-0.433982,-0.073588,-0.326830,9.636621,3.091467,1.327462,1.496143,1.084595,0.844852,0.631694,0.456515,0.507254,0.659471,0.375568,0.405941,0.319408,gun_shot
8.817100,-2.782237,0.193370,-1.257584,0.176474,-0.809727,-0.146112,-0.407664,-0.587371,0.270038,-0.512651,-0.121083,-0.309495,9.470691,2.962264,1.522343,1.484083,1.231684,0.920661,0.745081,0.484801,0.617166,0.789136,0.477767,0.392010,0.308742,gun_shot
6.230245,-3.333735,1.086452,-2.260891,0.642327,-1.217058,0.060421,-0.568079,-0.438216,-0.088712,-0.422355,-0.072266,-0.360557,7.109797,3.425776,1.648951,2.357878,1.292438,1.180361,0.825561,0.565055,0.679902,0.494919,0.459800,0.429487,0.394688,gun_shot
7.788797,-3.379921,1.226220,-2.030085,0.307881,-1.088450,-0.285283,-0.261010,-0.664551,0.086610,-0.509865,-0.170761,-0.396539,8.475173,3.187990,1.973851,1.896815,1.220113,1.006774,0.667882,0.492871,0.546460,0.623814,0.384868,0.377143,0.312573,gun_shot
8.541372,-2.964824,0.609168,-1.752114,-0.453818,-1.140581,-0.760249,-0.314145,-0.647411,0.135133,-0.537592,-0.305907,-0.489409,9.434645,2.811637,1.669194,1.638342,1.096500,0.930222,0.798827,0.434827,0.493080,0.739683,0.372594,0.364386,0.313564,gun_shot
8.250458,-3.128722,0.774761,-2.114629,-0.274169,-1.302881,-0.636888,-0.354263,-0.539761,0.072500,-0.588929,-0.290190,-0.484541,9.218308,2.941604,1.710672,1.975500,1.098212,1.078929,0.762212,0.451246,0.516091,0.669579,0.370276,0.387958,0.320906,gun_shot
7.823246,-3.306868,0.501304,-1.990488,-0.497922,-1.203572,-0.703027,-0.379790,-0.537440,-0.021495,-0.556517,-0.281687,-0.486401,8.768172,3.099774,1.482574,1.888797,1.064292,1.055189,0.777606,0.456991,0.561752,0.591269,0.369215,0.388473,0.318025,gun_shot
9.098739,-1.997236,0.020331,-1.440962,-0.286444,-1.228472,-0.288494,-0.551652,-0.365905,0.138505,-0.662476,-0.078139,-0.615745,10.065787,2.071374,1.383016,1.362943,1.099496,0.935028,0.808110,0.486182,0.524020,0.861672,0.425639,0.699444,0.340999,gun_shot
