media0,media1,media2,media3,media4,media5,media6,media7,media8,media9,media10,media11,media12,desvio0,desvio1,desvio2,desvio3,desvio4,desvio5,desvio6,desvio7,desvio8,desvio9,desvio10,desvio11,desvio12,classe
3.157224,-2.588173,2.273089,-0.796466,-0.028995,-0.497596,0.559515,-0.428562,0.280619,0.091826,0.184654,-0.388822,-0.032501,3.456590,2.674655,2.363067,0.899960,0.421253,0.615541,0.691350,0.574563,0.456013,0.361385,0.377400,0.467928,0.301228,jackhammer
2.844840,-2.493685,2.367648,-0.661899,0.153931,-0.469344,0.688136,-0.239434,0.458010,0.244285,0.223123,-0.383753,-0.021570,3.060642,2.549378,2.430231,0.765495,0.452578,0.602577,0.787569,0.442637,0.578334,0.420711,0.400591,0.467803,0.271247,jackhammer
2.923076,-2.634555,2.252746,-0.642217,0.229367,-0.305306,0.820908,-0.117375,0.484489,0.354665,0.237846,-0.354189,-0.067504,3.189256,2.651670,2.365797,0.690666,0.488221,0.461018,0.949303,0.356565,0.653097,0.527662,0.444311,0.427088,0.307587,jackhammer
2.991795,-2.196787,2.418667,-0.771121,0.130831,-0.548720,0.614266,-0.322620,0.229132,0.211164,0.288329,-0.241874,-0.226521,3.410313,2.118291,2.693959,0.683906,0.518934,0.533276,0.924188,0.389708,0.575989,0.570246,0.617706,0.348473,0.322581,jackhammer
3.015562,-2.212751,2.604542,-0.704948,0.039528,-0.640212,0.553211,-0.419303,0.212272,0.291113,0.139719,-0.309696,-0.144655,3.310519,2.168298,2.791301,0.670727,0.412683,0.625627,0.788604,0.484769,0.487419,0.547162,0.419702,0.350067,0.319744,jackhammer
2.833011,-2.557998,2.707133,-0.685087,-0.109163,-0.556216,0.547439,-0.495900,0.177862,0.247984,0.084806,-0.358099,-0.149624,3.140572,2.509225,2.891524,0.653311,0.358514,0.557860,0.780227,0.506496,0.485351,0.519938,0.390232,0.385131,0.325845,jackhammer
2.713957,-2.733858,2.650833,-0.674354,-0.176112,-0.578351,0.538848,-0.479249,0.081694,0.253725,0.084002,-0.447101,-0.194053,3.087855,2.630215,2.878831,0.615779,0.359726,0.512378,0.818354,0.494890,0.468736,0.542639,0.448203,0.426913,0.320985,jackhammer
2.860339,-2.621767,2.571052,-0.655619,-0.253017,-0.639677,0.473177,-0.628784,-0.027659,0.255553,-0.023780,-0.562472,-0.095329,3.159101,2.624851,2.704113,0.681475,0.382240,0.666196,0.678295,0.672558,0.366126,0.471754,0.368538,0.567015,0.342550,jackhammer
3.366652,-2.040645,2.559644,-0.757050,0.017729,-0.668598,0.355174,-0.739733,-0.136219,0.358740,0.004123,-0.534305,-0.094481,3.688776,2.097270,2.701775,0.787944,0.486516,0.688421,0.586854,0.768917,0.362823,0.573539,0.367226,0.557213,0.346152,jackhammer
4.140762,-1.731887,2.547675,-0.741229,0.050799,-0.341262,0.378796,-0.438040,-0.050134,0.431278,0.168483,-0.304754,-0.119998,4.482098,1.716521,2.722158,0.778587,0.528588,0.507167,0.629958,0.595464,0.417027,0.660840,0.449625,0.431214,0.335170,jackhammer
